,author,date,n_likes,n_reposts,with_photo,is_repost?,text,translation,тональность,tonality_numbers
18,dying,2015-08-17,4204,42,False,False,отсасывать просить,suck ask,Нейтральная,0.0
19,dying,2015-08-17,10170,200,False,False,счастие глаз карий,happiness eyes brown,Положительная,1.0
20,dying,2015-08-17,7937,167,False,False,вспомнить девочка который любить,remember the girl who love,Положительная,1.0
21,dying,2015-08-17,5456,118,False,False,часто говорить представлять сколько думать,talk often imagine how much to think,Положительная,1.0
22,dying,2015-08-17,3624,61,False,False,уезжать жить бельгия уезжать туда петь рапапа мочь навсегда,go live belgium go there sing rapapa be able forever,Положительная,1.0
23,dying,2015-08-17,3846,137,False,False,3 разный личность 1 общительный громкий 2 тихий чертовски спокойный 3 ненавидеть каждый малый вещь раздражать,3 different personality 1 outgoing loud 2 quiet damn calm 3 hate every little thing annoying,Отрицательная,-1.0
24,dying,2015-08-17,2566,45,False,False,приходить работа работать глупый вопрос отвечать почему пьяный спать,come work work stupid question answer why drunk sleep,Отрицательная,-1.0
25,dying,2015-08-17,4458,187,False,False,"16 способ доставать родитель добавлять страница потерять 1 ходить дом 2 мычать корова называть твой имя 3 вбегать стена 4 говорить носить одежда противоречить твой религия 5 вставать около 4 утро огромный улыбка сказать добрый утро солнышко 6 вырывать кто-нибудь волос закричать днк !!"". 7 спрыгивать крыша попытка полететь 8 взять рука испуганный вид сказать видеть мертвец 9 попытаться поплавать пол 10 бегать весь дом лампочка кричать солнце оно умирать !"" 11 пить стакан сторона 12 приклеивать палец нос супер клей 13 поразговаривать ручка 14 взять мороженое прилеплять лоб утверждать прекрасный единорог 15 повключать повыклюкать свет сказать аааа понимать 16 кричать тон !!!! каждый душа","16 way to annoy parent add page lose 1 walk house 2 moo cow call your name 3 run in wall 4 talk wear clothes contradict your religion 5 get up around 4 morning huge smile say good morning sunshine 6 tear out somebody's hair scream dna!!"". 7 jump off the roof try to fly 8 take a hand scared look say see a dead man 9 try to swim the floor 10 run the whole house a light bulb scream the sun it's dying !"" 11 drink glass side 12 stick finger nose super glue 13 talk pen 14 take ice cream stick forehead affirm lovely unicorn 15 turn on turn off light say ahhh understand 16 shout tone !!!! every soul",Положительная,1.0
26,dying,2015-08-17,1242,18,False,False,каждый леша должный свой вика,each lyosha owes his wiki,Нейтральная,0.0
27,dying,2015-08-16,3108,92,False,False,маша обижать лес багажник увидеть,masha offend forest trunk see,Нейтральная,0.0
28,dying,2015-08-16,4137,65,False,False,каждый катя должный свой ящик водка,each katya owes his box of vodka,Нейтральная,0.0
29,dying,2015-08-16,2367,29,False,False,дарить цветок дарить пожирать,to give a flower to give to devour,Нейтральная,0.0
30,dying,2015-08-16,1428,23,False,False,алина юля становиться свой место ...,alina julia become your place...,Нейтральная,0.0
31,dying,2015-08-16,1364,18,False,False,каждый анек должный свой никита,each anek owes its own nikita,Положительная,1.0
32,dying,2015-08-16,2974,56,False,False,каждый должный свой яна,everyone owes his yana,Нейтральная,0.0
33,dying,2015-08-16,2288,52,False,False,каждый должный свой полина,each one has his own polina,Положительная,1.0
34,dying,2015-08-16,166,3,False,True,AppToday это необходимо скачать 15 авг 2015 9 54,AppToday is a must download 15 Aug 2015 9 54,Нейтральная,0.0
35,dying,2015-08-16,2978,72,False,False,каждый должный свой соня,everyone owes his sleepyhead,Нейтральная,0.0
36,dying,2015-08-16,3503,46,False,False,долбоеб,motherfucker,Нейтральная,0.0
37,dying,2015-08-16,3144,93,False,False,принцесск,princess,Нейтральная,0.0
38,dying,2015-08-16,2606,54,False,False,любовь подруга лиза,love girlfriend lisa,Положительная,1.0
39,dying,2015-08-16,2864,49,True,False,сигарета приносить радость твой любить,cigarette bring joy to your love,Положительная,1.0
40,dying,2015-08-16,1755,42,False,False,заниматься го фотка,do th photo,Нейтральная,0.0
41,dying,2015-08-16,3161,86,False,False,1 накосячить 2 попытаться исправлять 3 накосячить,1 mess up 2 try to fix 3 mess up,Отрицательная,-1.0
42,dying,2015-08-16,3681,61,False,False,значит неа значит пока выебываться,"it means no, it means to fuck off for now",Отрицательная,-1.0
43,dying,2015-08-16,206,1,True,True,DELETED 5 авг 2015 9 04,DELETED 5 Aug 2015 9 04,Нейтральная,0.0
44,dying,2015-08-16,4054,69,False,False,любовь настя,love nastya,Положительная,1.0
45,dying,2015-08-16,3438,35,False,False,лайков ебать красиво становиться,likes fuck become beautiful,Положительная,1.0
46,dying,2015-08-16,5027,125,False,False,голубой глаз восхитительный,blue eye amazing,Положительная,1.0
47,dying,2015-08-16,3233,71,False,False,каждый должный свой карина,everyone owes his own karina,Положительная,1.0
48,dying,2015-08-16,2459,33,False,False,текст бессмысленный твой жизнь,text meaningless your life,Отрицательная,-1.0
49,dying,2015-08-16,3180,56,False,False,счастливый жизнь лола погодить сечь,happy life lola wait a minute,Положительная,1.0
50,dying,2015-08-16,3623,56,False,False,никто нужный смиряться,no one needs to put up with,Нейтральная,0.0
51,dying,2015-08-16,2029,58,False,False,каждый настя фея,every nastya fairy,Нейтральная,0.0
52,dying,2015-08-16,1702,33,False,False,слышь че дерзкий просто полина,"Hey, che arrogant just Polina",Нейтральная,0.0
53,dying,2015-08-16,2238,17,False,False,спасибо целый месяц счастие хотя спасибо уебок,thank you whole month happiness though thanks motherfucker,Положительная,1.0
54,dying,2015-08-16,1743,24,False,False,боже просто женя,oh my god just a wife,Нейтральная,0.0
55,dying,2015-08-16,2097,29,False,False,смело,boldly,Положительная,1.0
56,dying,2015-08-16,2099,33,False,False,простоуйдинахуй,just fuck off,Отрицательная,-1.0
57,dying,2015-08-16,1722,26,False,False,каждый влад бандитка ама хасл ама ама хасл,every vlad banditka ama hasl ama ama hasl,Нейтральная,0.0
58,dying,2015-08-16,1133,6,False,False,каждый даша должный свой темочка,each dasha has its own theme,Положительная,1.0
59,dying,2015-08-16,2154,35,False,False,каждый вика малявка ...,every vika is a baby...,Нейтральная,0.0
60,dying,2015-08-16,703,10,False,False,каждый эмилий милый,every emily is cute,Положительная,1.0
61,dying,2015-08-16,1774,36,False,False,гулять друг собака,walk each dog,Нейтральная,0.0
62,dying,2015-08-16,549,8,False,False,каждый маша должный свой инна,every masha owes his inna,Нейтральная,0.0
63,dying,2015-08-16,611,8,False,False,каждый ксюша должный свой кенан каждый кенан должный свой ксюша,each kenan owes its own kenan each kenan owes its own kenan,Положительная,1.0
64,dying,2015-08-16,1002,24,False,False,здорово сестренка иринка который любить который любить,cool sister irinka who love who love,Положительная,1.0
65,dying,2015-08-16,3425,30,False,False,мб самый красивый зато орех норма,mb the most beautiful but the nut is the norm,Положительная,1.0
66,dying,2015-08-16,923,10,False,False,каждый маша должный свой ира,each masha owes his ira,Нейтральная,0.0
67,dying,2015-08-16,2050,55,False,False,голубой глаз темный волос высокий рост идеальный сочетание,blue eye dark hair tall perfect combination,Положительная,1.0
68,dying,2015-08-15,651,1,False,False,редко бывать сестра анита рита,rarely visit sister anita rita,Положительная,1.0
69,dying,2015-08-15,991,14,False,False,любовь милена,love milena,Положительная,1.0
70,dying,2015-08-15,558,6,False,False,каждый карина должный свой влад каждый влада должный свой карина,each Karina owes her own Vlad each Vlad owes her Karina,Положительная,1.0
71,dying,2015-08-15,878,22,False,False,каждый ира должный свой даша каждый даша должный свой ира,each ira owes his dasha each dasha owes his own ira,Положительная,1.0
72,dying,2015-08-15,1783,28,False,False,любить друг друг убивать,love each other kill,Положительная,1.0
73,dying,2015-08-15,1969,55,True,False,мочь взять убегать бросать весь попросить убегать вместе,be able to take to run away throw the whole ask to run away together,Положительная,1.0
74,dying,2015-08-15,3150,124,False,False,класс это столица школа класс гангстер класс учиться элита учитель бояться класс кроме класс холоп отличник вести гопот класс некоторые мочь приходить бухой урок,the class is the capital school the gangster class the class to study the elite the teacher to be afraid of the class besides the class the serf the excellent student to lead the gopot class some to be able to come drunk lesson,Положительная,1.0
75,dying,2015-08-15,1440,22,False,False,друг,Friend,Нейтральная,0.0
76,dying,2015-08-15,2800,72,False,False,мечтать прочитывать твой мысль узнавать,to dream to read your thought to learn,Нейтральная,0.0
77,dying,2015-08-15,1501,94,False,False,почему дружить добавлять стена 1 интересный 2 веселый 3 супер 4 мочь 5 любить 6 хороший подруга 7 привлекательный,why be friends add wall 1 interesting 2 funny 3 super 4 able 5 love 6 good girlfriend 7 attractive,Положительная,1.0
78,dying,2015-08-15,3100,41,False,False,душа пиздец спасибо мальчик,soul fucked thank you boy,Отрицательная,-1.0
79,dying,2015-08-15,1805,35,False,False,делать хотеться равный осуждать конец жизнь,make want equal condemn the end of life,Нейтральная,0.0
80,dying,2015-08-15,912,37,False,False,каждый диана красивый заботливый добрый нежный милый очаровательный душевный незабываемый ангельский веселый энергичный чудесный романтичный симпатичный единственный ласковый желанный предсказуемый загадочный интриговать хороший скромный понимать улыбчивый честный обаятельный целеустремленный дивный женственный,each diana is beautiful caring kind gentle cute charming soulful unforgettable angelic cheerful energetic wonderful romantic likable the only affectionate desired predictable mysterious intrigue good modest understanding smiling honest charming purposeful wondrous feminine,Положительная,1.0
81,dying,2015-08-15,2205,43,False,False,шрам смеяться ранить,scar laugh hurt,Положительная,1.0
82,dying,2015-08-15,964,21,False,False,каждый аля бандитка ама хасл ама ама хасл,every ala bandit ama hasl ama ama hasl,Нейтральная,0.0
83,dying,2015-08-15,1672,35,False,False,хотеть кто-нибудь смотреть смотреть шоколадный торт,want anyone to watch watch chocolate cake,Нейтральная,0.0
84,dying,2015-08-15,2063,39,False,False,нужный далеко,needed far,Положительная,1.0
85,dying,2015-08-15,1609,68,False,False,лето это 3 месяц учебник 92 день свобода 2 208 час счастие 133 480 минута блаженство,summer is 3 month tutorial 92 day freedom 2 208 hour happiness 133 480 minute bliss,Положительная,1.0
86,dying,2015-08-15,2365,22,False,False,хотеть вместо контрольный нарисовать хуй тетрадка,want to draw a dick notebook instead of a control one,Нейтральная,0.0
87,dying,2015-08-15,1750,39,False,False,п з т е м е н н,p z t e m e n n,Нейтральная,0.0
88,dying,2015-08-15,1669,31,False,False,безумно захотеться кто-то садиться рядом сказать понимать действительно понимать почему поступать иначе почему просто понимать это важный,craving someone to sit next to say understand really understand why to act otherwise why just understand this is important,Положительная,1.0
89,dying,2015-08-15,1662,31,False,False,лето нужно гулять даша,summer need to walk dasha,Нейтральная,0.0
90,dying,2015-08-15,2606,40,False,False,холодно обнимать батарея,cold hug battery,Отрицательная,-1.0
91,dying,2015-08-15,2464,58,False,False,катя,Kate,Нейтральная,0.0
92,dying,2015-08-15,1443,21,False,False,приходить ко чай,come to tea,Нейтральная,0.0
93,dying,2015-08-15,2372,38,False,False,кристина обижать нужно любить,kristina offend need to love,Положительная,1.0
94,dying,2015-08-15,2509,53,False,False,милый красивый очаровательный девушка парень сдыхать счастие,cute handsome charming girl guy die happiness,Положительная,1.0
95,dying,2015-08-15,1514,36,False,False,голова утро ночь,head morning night,Нейтральная,0.0
96,dying,2015-08-15,720,29,False,False,забирать стена самый крутой сумасшедший лето прочитывать проигнорировать скучный самый плохой лето,pick up wall coolest crazy summer read ignore boring worst summer,Отрицательная,-1.0
97,dying,2015-08-15,1839,40,False,False,хотеть норма друг,want norm friend,Нейтральная,0.0
98,dying,2015-08-15,1354,37,False,False,человек встреча который начинать сильно биться сердце каждый подумать особенный человек,a person meeting who starts to beat strongly the heart each think a special person,Положительная,1.0
99,dying,2015-08-15,1227,39,False,False,каждый настя бандитка ама хасл ама ама хасл,every nastya banditka ama hasl ama ama hasl,Нейтральная,0.0
100,dying,2015-08-15,1355,9,False,False,трахать рак сука,fuck cancer bitch,Отрицательная,-1.0
101,dying,2015-08-15,1330,53,False,False,"почему человек считать иметь право разрушать чужой жизнь уходить обижать звонить бросать ветер слово ... бог решать мучиться жить счастливо сказать « любить », добрый любить последний вздох сказать « обещать », разбиваться лепешка сдерживать обещание произносить « отпускать », сделать оставаться противный случай смысл жить каждый ваш слово равноценный ноль иметь значение","why does a person consider having the right to destroy someone else's life to leave offend call throw the wind a word ... god decide to suffer to live happily say ""love"", good love last breath say ""promise"", break a cake to keep a promise to say ""let go"", make stay opposite case sense live your every word equal zero matter",Положительная,1.0
102,dying,2015-08-15,667,18,False,False,каждый алена красивый умненький заботливый привлекательный добрый нежный милый очаровательный обворожительный душевный незабываемый неотразимый шикарный божественный завораживать ангельский кокетливый веселый энергичный чудесный романтичный симпатичный единственный ласковый сладенький желанный непредсказуемый загадочный интриговать хороший скромный понимающий заманчивый улыбчивый зажигательный честный обаятельный целеустремленный дивный женственный,each Alena beautiful smart caring attractive kind gentle cute charming charming sincere unforgettable irresistible chic divine bewitch angelic flirtatious cheerful energetic wonderful romantic cute the only affectionate sweet little unpredictable mysterious intrigue good modest understanding alluring smiling incendiary honest charming purposeful wondrous feminine,Положительная,1.0
103,dying,2015-08-15,2073,14,False,False,фото пиздатый чик жизнь должанский,photo bitching chick life dolzhansky,Нейтральная,0.0
104,dying,2015-08-15,1288,10,True,False,покупать книга называть милая,buy book call sweetheart,Нейтральная,0.0
105,dying,2015-08-14,1355,33,False,False,почему грустный вика скучать,why sad Vika miss,Отрицательная,-1.0
106,dying,2015-08-14,658,19,False,False,каждый марина должный свой настя,each marina owes its own nastya,Положительная,1.0
107,dying,2015-08-14,1044,5,False,False,винишко наливать ка малый лиля,wine pour ka small lily,Отрицательная,-1.0
108,dying,2015-08-14,833,1,False,False,ева четкий поп хусейн 5 год,eva crisp pop hussein year 5,Положительная,1.0
109,dying,2015-08-14,1643,39,False,False,серо-голубой глазок маленький рост пушлый щечка прекрасный сочетание,gray-blue eye small stature fluffy cheek beautiful combination,Положительная,1.0
110,dying,2015-08-14,764,19,False,False,каждый катя должный свой вика,each katya owes his wiki,Нейтральная,0.0
111,dying,2015-08-14,1260,26,False,False,сентябрь приближаться ко,september is approaching,Нейтральная,0.0
112,dying,2015-08-14,379,2,True,False,▼ нажимать поцелуйчик вскоре влюбляться нажимать,▼ press kiss soon fall in love press,Положительная,1.0
113,dying,2015-08-14,95,5,False,True,AppToday это необходимо скачать 12 авг 2015 12 49,AppToday is a must download 12 Aug 2015 12 49,Нейтральная,0.0
114,dying,2015-08-14,1976,43,False,False,зеленый глаз русый волос маленький рост идеальный сочетание,green eye light brown hair small stature perfect combination,Положительная,1.0
115,dying,2015-08-14,1498,17,False,False,где-то прилавок магазин скучать алкоголь,somewhere counter shop miss alcohol,Нейтральная,0.0
116,dying,2015-08-14,1834,34,False,False,ребенок хотеть взрослый взрослый хотеть ребенок подросток хотеть вообще,child want adult adult want child teenager want at all,Положительная,1.0
117,dying,2015-08-14,87,0,True,True,DELETED 5 авг 2015 9 04,DELETED 5 Aug 2015 9 04,Нейтральная,0.0
118,dying,2015-08-14,1335,27,False,False,кажется забывать рано поздно вспоминать заново,it seems to forget too late to remember again,Отрицательная,-1.0
119,dying,2015-08-14,1021,17,False,False,каждый должный свой марина,everyone has his own marina,Положительная,1.0
120,dying,2015-08-14,1649,25,False,False,завтра,Tomorrow,Нейтральная,0.0
121,dying,2015-08-14,698,14,False,False,оптимизм жажда жизнь положительный настрой попробовать сука расстраивать,optimism thirst life positive attitude try bitch upset,Положительная,1.0
122,dying,2015-08-14,1873,76,False,False,парень заметка девушка 1 злой уходить идти 2 внимательно смотреть твой губа поцелуй 3 отталкивать держать отпускать 4 обзывать целовать говорить любить 5 злой сказать очень милый 6 тихий спрашивать 7 игнорировать привлекать внимание 8 показывать плохой сторона говорить красивый 9 видеть начинать плакать обнимать оставлять планета 10 класть свой голова твой плечо опускаться поцелуй 11 говорить нравиться самый дело хотеть сказать 12 рассказывать секрет хранить 13 смотреть глаз опускать пока это сделать 14 скучать больно 15 « ломать » сердце боль обида проходить 16 говорить кончаться хотеть ... 17 взять рука мгновение важно .) показывать,"guy note girl 1 angry walk away 2 look closely at your lip kiss 3 push away keep letting go 4 call names kissing say love 5 angry say very cute 6 quiet ask 7 ignore attract attention 8 show bad side speak handsome 9 see start cry hug leave planet 10 put your own head your shoulder drop a kiss 11 talk like the most thing want to say 12 tell a secret to keep 13 look eye down while doing it 14 miss it hurts 15 ""break"" the heart pain resentment pass 16 talk end wanting ... 17 take a hand a moment is important.) show",Положительная,1.0
123,dying,2015-08-14,1660,36,False,False,говорить никак мочь забывать человек нужный,say no way to be able to forget the right person,Положительная,1.0
124,dying,2015-08-14,969,9,False,False,успокаивать свой объятие,soothe your hug,Нейтральная,0.0
125,dying,2015-08-14,2201,50,False,False,весь мир жизнь мама,the whole world life mom,Положительная,1.0
126,dying,2015-08-14,1108,22,False,False,сначала человек говорить мочь друг друг знать друг друг хотеть,first person to talk to be able to each other to know each other to want,Положительная,1.0
127,dying,2015-08-14,1187,23,False,False,представлять сильно хотеть поговорить,represent strongly want to talk,Положительная,1.0
128,dying,2015-08-14,1176,17,False,False,почему грустный катя соскучиться,why sad katya get bored,Отрицательная,-1.0
129,dying,2015-08-14,1111,29,True,False,первый любовь самый сильный помнить конец жизнь,first love the strongest remember the end of life,Положительная,1.0
130,dying,2015-08-14,1013,6,False,False,го бегать голый крыша курить,go run naked roof smoke,Нейтральная,0.0
131,dying,2015-08-14,701,11,False,False,скучать соня,miss sleepyhead,Нейтральная,0.0
132,dying,2015-08-14,1133,20,False,False,"вопрос дело просто отвечать нормально услышать ясно "", рассказывать услышать понятно","question business just answer normally hear clearly "" tell hear clearly",Положительная,1.0
133,dying,2015-08-14,923,6,False,False,пидар пидар пидар пидар пидар пидар пидар,fagot fagot fagot fagot fagot fagot fagot,Нейтральная,0.0
134,dying,2015-08-14,1165,9,False,False,ой это быстро пролетать это лето оно каждый год пролетать,oh it's flying by fast this summer it's flying by every year,Положительная,1.0
135,dying,2015-08-14,1006,15,False,False,обижаться человек просто менять мнение вытаскивать человек грязь вытаскивать грязь человек,take offense man just change his mind pull out the dirt man pull out the dirt man,Нейтральная,0.0
136,dying,2015-08-14,1170,21,False,False,удаль забывать,prowess to forget,Нейтральная,0.0
137,dying,2015-08-14,1406,25,False,False,гулять телефон это,walk phone it,Нейтральная,0.0
138,dying,2015-08-14,978,15,False,False,самый ужасный это действительно нужный поддержка сидеть телефон рука знать чей номер набирать,the worst is really needed support sit phone hand know whose number to dial,Отрицательная,-1.0
139,dying,2015-08-14,1120,16,False,False,слишком стремный счастие,too dumb happiness,Положительная,1.0
140,dying,2015-08-14,1171,36,False,False,человек убивать четыре способ 1 санта лючия санта лючия 2 боже мама мама сходить ум 3 это шутка встречаться маршрутка 4 э слышь че дерзкий,man kill four way 1 santa lucia santa lucia 2 god mom mom go mind 3 it's a joke meet minibus 4 uh hear che cocky,Отрицательная,-1.0
141,dying,2015-08-14,630,6,False,False,пусть лето интернет,let summer internet,Нейтральная,0.0
142,dying,2015-08-14,944,9,False,False,обидно чмо,it's a shame schmuck,Нейтральная,0.0
143,dying,2015-08-14,2002,42,False,False,карий глаз темный волос маленький рост великолепный сочетание,brown eye dark hair small stature gorgeous combination,Положительная,1.0
144,dying,2015-08-14,1252,18,True,False,чувство,feeling,Нейтральная,0.0
145,dying,2015-08-14,1861,22,False,False,нравиться парень который намного высоко приятно пахнуть великолепно обниматься,like a guy who is much taller nice smell great cuddle,Положительная,1.0
146,dying,2015-08-13,234,1,True,False,жать принцесск смотреть получаться,reap princess look turn out,Нейтральная,0.0
147,dying,2015-08-13,1325,12,False,False,таить вид,hide the look,Нейтральная,0.0
148,dying,2015-08-13,956,8,False,False,самый жизнь который смотреть фильм читать книга,most life who watch movie read book,Положительная,1.0
149,dying,2015-08-13,432,28,False,False,репост бояться смочь отвечать весь вопрос правильный купить шоколадка 1 фамилия 2 имя 3 отчество 4 любимый цвет 5 любимый песня 6 любимая шоколадка 7 любимый напиток 8 сколько год 9 любимый фильм 10 хороший подруга детство 11 цвет глаз 12 любимый мультфильм 13 любимый цветок 14 любимый урок,repost afraid to be able to answer the whole question correct buy chocolate 1 last name 2 first name 3 middle name 4 favorite color 5 favorite song 6 favorite chocolate 7 favorite drink 8 what year 9 favorite movie 10 good friend childhood 11 eye color 12 favorite cartoon 13 favorite flower 14 favorite lesson,Положительная,1.0
150,dying,2015-08-13,795,0,True,False,лайк,like,Нейтральная,0.0
151,dying,2015-08-13,1216,24,False,False,знать это ничто интересно кроме человек весь плевать единственный крутиться голова это мысль человек,know it's nothing interesting except man whole spit the only spinning head is thought man,Положительная,1.0
152,dying,2015-08-13,1226,22,False,False,хороший подруга запоминать упасть подымать заканчивать ржать,good girlfriend remember fall raise finish laugh,Положительная,1.0
153,dying,2015-08-13,1040,13,False,False,отпускать мочь уебывать нахуй,let go be able to fuck off,Положительная,1.0
154,dying,2015-08-13,879,18,False,False,обещать обещать сделать,promise promise to do,Нейтральная,0.0
155,dying,2015-08-13,579,9,False,False,жить жить твой жизнь появляться полина,live live your life appear polina,Положительная,1.0
156,dying,2015-08-13,988,15,False,False,забывать твой поцелуй,forget your kiss,Нейтральная,0.0
157,dying,2015-08-13,735,21,False,False,хороший пора это запоминать жить свой удовольствие,good time is to remember to live your fun,Положительная,1.0
158,dying,2015-08-13,1155,29,False,False,любить катя кормить катя писать катя гулять катя ценить катя обнимать катя беречь катя,love Katya feed Katya write Katya walk Katya appreciate Katya hug Katya protect Katya,Положительная,1.0
159,dying,2015-08-13,1475,13,False,False,го спиваться,go to drink,Нейтральная,0.0
160,dying,2015-08-13,777,6,False,False,делаться хороший,become good,Положительная,1.0
161,dying,2015-08-13,823,19,False,False,адекватный пока встречать катя,adequate until meet katya,Положительная,1.0
162,dying,2015-08-13,740,7,False,False,весь,the whole,Положительная,1.0
163,dying,2015-08-13,839,5,False,False,близко близкие,close close,Нейтральная,0.0
164,dying,2015-08-13,617,15,False,False,лето нужно проводить лиза,summer must be spent lisa,Отрицательная,-1.0
165,dying,2015-08-13,1021,10,False,False,оказываться уебок,turn out to be a motherfucker,Нейтральная,0.0
166,dying,2015-08-13,905,13,False,False,запоминать пророчество когда-нибудь сон страдать одиночество снова прийти ко э асадов,memorize the prophecy someday sleep suffer loneliness again come to e asadov,Нейтральная,0.0
167,dying,2015-08-13,1111,22,False,False,адекватный пока встречать настя,adequate until meet nastya,Положительная,1.0
168,dying,2015-08-13,1617,20,False,False,лезть вскрывать,climb open,Нейтральная,0.0
169,dying,2015-08-13,1261,13,False,False,почему сразу мочь сказать привыкать ко очень нужный,why immediately be able to say get used to the very necessary,Положительная,1.0
170,dying,2015-08-13,875,17,False,False,любовь даша,love Dasha,Положительная,1.0
171,dying,2015-08-13,1273,23,False,False,хотеть просто дружить влюбляться,just want to be friends fall in love,Положительная,1.0
172,dying,2015-08-13,879,13,False,False,карина рядом враг ложиться град,karina next enemy lie down hail,Отрицательная,-1.0
173,dying,2015-08-13,1161,16,False,False,мама взрослеть становиться больно,mom grow up it hurts,Нейтральная,0.0
174,dying,2015-08-13,443,2,False,False,экзамен 2 неделя отсчет пойти тунеядец,exam 2 week countdown go parasite,Нейтральная,0.0
175,dying,2015-08-13,575,17,False,False,д добрый артистичный ш шикарный афигенный,q kind artistic sh chic awesome,Положительная,1.0
176,dying,2015-08-13,963,9,False,False,любить пьяненький мальчик,love drunk boy,Нейтральная,0.0
177,dying,2015-08-13,1127,14,False,False,чувство забывать человек взять написать это сделать,feeling forget man take write it do it,Нейтральная,0.0
178,dying,2015-08-13,489,12,False,False,каждый яна фея,every yana fairy,Нейтральная,0.0
179,dying,2015-08-13,485,14,False,False,каждый настя должный свой ира,each Nastya owes his own Ira,Положительная,1.0
180,dying,2015-08-13,815,13,False,False,обижать рита хороший,offend rita nice,Положительная,1.0
181,dying,2015-08-13,1169,17,False,False,скучать макс,miss max,Нейтральная,0.0
182,dying,2015-08-13,558,9,False,False,славик это хороший друг братан опасный парень идеальный мужчина реальный пацан самый хороший человек свет,slavik is a good friend bro dangerous guy perfect man real kid the nicest man in the world,Положительная,1.0
183,dying,2015-08-12,1127,22,False,False,мочь когда-нибудь увидеться улыбаться встреча знать забывать вдвоем веселиться хотеть уходить дом просто хотеть вместе бац заканчиваться,be able to see each other someday smile meeting know forget together have fun want to leave home just want together bam end,Положительная,1.0
184,dying,2015-08-12,1301,24,False,False,девиз жизнь пиза ец погнать,motto life pisa ec drive,Нейтральная,0.0
185,dying,2015-08-12,379,8,False,False,каждый диана красивый умненький заботливый привлекательный добрый нежный милый очаровательный обворожительный душевный незабываемый неотразимый шикарный божественный завораживать ангельский кокетливый веселый энергичный чудесный романтичный симпатичный единственный ласковый сладенький желанный непредсказуемый загадочный интриговать хороший скромный понимающий заманчивый улыбчивый зажигательный честный обаятельный целеустремленный дивный женственный,each diana beautiful smart caring attractive kind gentle cute charming charming sincere unforgettable irresistible chic divine bewitch angelic flirtatious cheerful energetic wonderful romantic cute the only affectionate sweet desired unpredictable mysterious intrigue good modest understanding alluring smiling incendiary honest charming purposeful wondrous feminine,Положительная,1.0
186,dying,2015-08-12,938,19,False,False,любовь непредсказуемый штука мочь весь жизнь ходить мимо человек замечать завтра бояться отпускать рука,love is an unpredictable thing to be able to walk past a person to notice tomorrow to be afraid to let go,Отрицательная,-1.0
187,dying,2015-08-12,1066,17,False,False,человек писать ночь думать сон ценить это,man write night think sleep appreciate it,Нейтральная,0.0
188,dying,2015-08-12,2293,35,False,False,ночь наушники мечта,night headphones dream,Нейтральная,0.0
189,dying,2015-08-12,839,11,False,False,пустой мурашки кожа звонить равный легкость мочь отвечать писать сниться 2 ночь подряд отправлять смайлик ответ понимать,empty goosebumps skin call equal ease be able to answer write dream 2 consecutive nights send emoticon answer understand,Положительная,1.0
190,dying,2015-08-12,1176,18,False,False,бывать день который хотеться поставлять повтор,be the day that you want to deliver a repeat,Нейтральная,0.0
191,dying,2015-08-12,901,26,False,False,знать прекрасный прочитывать первый слово,know beautiful read the first word,Положительная,1.0
